gameid,league,blueteam,redteam,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport
6610-8409,LPL,Rogue Warriors,FunPlus Phoenix,Sylas,LeeSin,Zoe,Varus,Thresh,Ornn,Olaf,Corki,Kaisa,Sett
ESPORTSTMNT01/1315900,CK,Team Dynamics,Jin Air Green Wings,Lucian,Olaf,Zoe,Mordekaiser,Senna,Aatrox,JarvanIV,Syndra,MissFortune,Nautilus
ESPORTSTMNT02/1381671,VCS,Saigon Buffalo,OverPower Esports,MonkeyKing,Kindred,TwistedFate,Senna,Galio,Aatrox,Nidalee,Tristana,Kaisa,Nautilus
6212-7853,LPL,eStar,Dominus Esports,MonkeyKing,Ekko,Sett,Ezreal,Thresh,Jax,Nidalee,Zilean,Lucian,Yuumi
ESPORTSTMNT01/1306485,VCS,Saigon Buffalo,CERBERUS Esports,Quinn,Olaf,Syndra,Aphelios,Braum,Renekton,Elise,Qiyana,Cassiopeia,Thresh
ESPORTSTMNT05/1540442,TRA,Dark Passage Academy,İstanbul Wildcats Academy,MonkeyKing,Kindred,Galio,Vayne,Nautilus,Renekton,Trundle,Sylas,Ezreal,TahmKench
ESPORTSTMNT02/1321169,OPL,Chiefs Esports Club,Gravitas,Ornn,Graves,Leblanc,MissFortune,Braum,Irelia,Olaf,Sylas,Varus,Thresh
ESPORTSTMNT03/1413857,VCS,Percent Esports,CERBERUS Esports,MonkeyKing,Olaf,Karma,Varus,Leona,Renekton,Trundle,Azir,Aphelios,Thresh
6170-7774,LDL,All Combo,EDG Youth Team,Gnar,MonkeyKing,Neeko,Xayah,Rakan,Renekton,Elise,Nocturne,Senna,TahmKench
ESPORTSTMNT06/1190482,TCL,Galakticos,Team AURORA,Ornn,Olaf,Tristana,Ziggs,Nautilus,Fiora,Gragas,Sylas,Senna,TahmKench
6562-8870,LDL,Legend Esport Gaming,Top Esports Challenger,Rumble,Nidalee,Qiyana,Ezreal,Leona,Sett,Volibear,Ekko,Kaisa,Rakan
6252-8162,LPL,Invictus Gaming,Dominus Esports,Gnar,LeeSin,Azir,Aphelios,Nautilus,Volibear,RekSai,Corki,MissFortune,Thresh
ESPORTSTMNT01/1422178,LLA,Furious Gaming,Infinity Esports,Ornn,JarvanIV,Corki,Aphelios,Lulu,Sylas,Olaf,Azir,Ezreal,Karma
ESPORTSTMNT02/1392237,CBLOL,paiN Gaming,FURIA Esports,MonkeyKing,Graves,TwistedFate,Kalista,Sett,Mordekaiser,LeeSin,Azir,Aphelios,Thresh
ESPORTSTMNT06/1270381,LCL,Unicorns Of Love.CIS,Elements Pro Gaming,Aatrox,Volibear,Ziggs,Kalista,Nautilus,Akali,RekSai,Qiyana,Heimerdinger,Sett
ESPORTSTMNT05/1520490,TRA,Royal Youth Academy,Galatasaray Academy,Volibear,Sylas,Qiyana,Ezreal,Yuumi,Akali,Elise,Zed,Aphelios,Thresh
6358-8169,LDL,Joy Dream,Young Miracles,Renekton,Trundle,Leblanc,Ezreal,Bard,Ornn,Sett,Zoe,Kaisa,Thresh
ESPORTSTMNT05/1430772,LEC,G2 Esports,MAD Lions,Chogath,Trundle,Cassiopeia,Ezreal,Yuumi,Maokai,LeeSin,Qiyana,Kaisa,Nautilus
ESPORTSTMNT01/1304302,CBLOL,KaBuM! e-Sports,paiN Gaming,Jayce,Elise,Sylas,Varus,Braum,Soraka,Gragas,Tristana,Aphelios,Nautilus
6037-7450,LPL,Victory Five,FunPlus Phoenix,Aatrox,LeeSin,Sylas,Kalista,Nautilus,Fiora,Elise,Sett,Kaisa,Leona
ESPORTSTMNT01/1425109,LLA,Isurus,XTEN Esports,Karma,Volibear,Orianna,Ashe,Leona,Renekton,LeeSin,Lucian,Sona,Lux
ESPORTSTMNT01/1295588,LJL,Fukuoka SoftBank Hawks gaming,AXIZ,Ornn,XinZhao,Rumble,Senna,TahmKench,Aatrox,JarvanIV,Orianna,Aphelios,Thresh
6001-7422,LPL,Suning,Team WE,Aatrox,Sejuani,Cassiopeia,MissFortune,Blitzcrank,Ornn,Ekko,Pantheon,Kalista,Thresh
ESPORTSTMNT06/1300414,LCL,One Breath Gaming,Gambit Esports,Gnar,LeeSin,Kassadin,Aphelios,Nautilus,Camille,Volibear,Akali,Ezreal,Leona
ESPORTSTMNT01/1306404,VCS,EVOS Esports,Team Secret,Sett,JarvanIV,Cassiopeia,Ashe,Braum,Mordekaiser,Shyvana,Karma,Aphelios,Thresh
ESPORTSTMNT03/1440644,PCS,Nova Esports,PSG Talon,Lucian,Lillia,Orianna,Jhin,Pantheon,Renekton,Nidalee,Corki,Senna,Nautilus
6171-7778,LDL,Suning-S,Oh My Dream,Renekton,Ekko,Pantheon,Varus,Thresh,Aatrox,MonkeyKing,Zoe,Sivir,Blitzcrank
ESPORTSTMNT02/1385399,LCS,Golden Guardians,FlyQuest,Jayce,LeeSin,TwistedFate,Ezreal,TahmKench,Ornn,Graves,Orianna,Senna,Blitzcrank
6355-8157,LDL,Oh My Dream,All Combo,Poppy,RekSai,Corki,Ezreal,Sett,Jax,LeeSin,Galio,Sivir,Karma
ESPORTSTMNT03/1353004,CK,Team Dynamics,Spear Gaming,Aatrox,JarvanIV,Lissandra,Varus,Taric,Jayce,Sejuani,Akali,Kalista,Rakan
6485-8612,LDL,Joy Dream,optical spectrum E-sports,Renekton,Trundle,Zoe,Aphelios,Thresh,Volibear,LeeSin,Lissandra,Ashe,TahmKench
6588-8247,LPL,Team WE,Dominus Esports,Mordekaiser,Graves,Karma,Ashe,Leona,Ornn,Trundle,Zoe,Jhin,Sett
ESPORTSTMNT05/1400944,TCL,1907 Fenerbahçe Esports,Dark Passage,Aatrox,JarvanIV,Syndra,Xayah,Rakan,Camille,LeeSin,Diana,Aphelios,Thresh
ESPORTSTMNT05/1540091,LEC,Misfits Gaming,SK Gaming,Gangplank,LeeSin,Syndra,Kaisa,Sett,Sion,Khazix,Orianna,Ezreal,Yuumi
ESPORTSTMNT04/1230881,LEC,Origen,Misfits Gaming,Renekton,Trundle,Ekko,Ezreal,Thresh,Aatrox,LeeSin,Azir,Kaisa,Nautilus
ESPORTSTMNT01/1425981,VCS,OverPower Esports,Team Secret,Mordekaiser,Volibear,Lucian,Ezreal,Pantheon,Camille,Elise,Jayce,Aphelios,Thresh
ESPORTSTMNT04/1230301,TRA,Beşiktaş Academy,Galakticos Academy,Renekton,Trundle,Orianna,Varus,Nautilus,Mordekaiser,Gragas,Cassiopeia,Kalista,Sett
6103-7603,LDL,V5 87,WanZhen Esports Club,Aatrox,LeeSin,Syndra,Senna,Nautilus,Ornn,RekSai,Zoe,Kalista,Blitzcrank
ESPORTSTMNT04/1140167,TCL,Papara SuperMassive,5 Ronin,Kalista,Sejuani,Velkoz,MissFortune,Taric,Tristana,Elise,Lucian,Cassiopeia,Nautilus
6581-8922,LDL,Invictus Gaming Young,Royal Club,Renekton,Volibear,Morgana,Ezreal,Taric,Ornn,Ekko,Cassiopeia,Ashe,Pantheon
ESPORTSTMNT01/1321280,VCS,Team Flash,GAM Esports,Sett,Olaf,Nautilus,Kaisa,Thresh,Renekton,LeeSin,Syndra,Xayah,Rakan
6054-7489,LPL,EDward Gaming,Bilibili Gaming,Ornn,Gragas,Irelia,Kalista,Taric,Maokai,Trundle,Zoe,Aphelios,Thresh
6434-8437,LDL,Bilibili Gaming Junior,eStar Young,Camille,Nidalee,Qiyana,Ashe,TahmKench,Sylas,Graves,MonkeyKing,Varus,Karma
6135-7639,LDL,Rogue Warriors Shark,eStar Young,Mordekaiser,LeeSin,Leblanc,Aphelios,Nautilus,Aatrox,RekSai,Lissandra,Varus,TahmKench
6202-7812,LPL,Victory Five,Dominus Esports,Aatrox,LeeSin,Zoe,Kalista,Thresh,Camille,Graves,Cassiopeia,Aphelios,Nautilus
ESPORTSTMNT02/1323633,PCS,J Team,Machi Esports,Sett,Trundle,Zoe,Ezreal,Nautilus,Renekton,Sejuani,Azir,MissFortune,Bard
ESPORTSTMNT06/1320317,EM,G2 Arctic,CR4ZY,Malphite,Nidalee,Orianna,Ashe,Pantheon,Sion,Graves,Sylas,Senna,Nautilus
6574-8901,LDL,FunPlus Phoenix Blaze,optical spectrum E-sports,Darius,Graves,Leblanc,Caitlyn,Lux,Renekton,Elise,Lucian,Yasuo,Gragas
ESPORTSTMNT05/1440732,LEC,MAD Lions,G2 Esports,Renekton,JarvanIV,Leblanc,Ezreal,Sett,Ornn,Gragas,Yasuo,MissFortune,Rakan
ESPORTSTMNT03/1343004,OPL,Dire Wolves,Legacy Esports,Poppy,JarvanIV,Orianna,Yasuo,Nautilus,Vladimir,Trundle,Chogath,Ezreal,Bard
ESPORTSTMNT03/1350949,LLA,Azules Esports,All Knights,Sett,Sejuani,Zilean,Jhin,Pyke,Aatrox,Gragas,Veigar,MissFortune,Yuumi
ESPORTSTMNT01/1306047,LCK,DAMWON Gaming,Gen.G,Gnar,Ivern,Orianna,Aphelios,Nautilus,Sett,Sejuani,Azir,MissFortune,Braum
6593-8271,LPL,Invictus Gaming,Bilibili Gaming,Mordekaiser,Sett,Syndra,Aphelios,Nautilus,Ornn,Volibear,Zoe,Ashe,TahmKench
ESPORTSTMNT02/1385485,CK,OZ Gaming,Griffin,MonkeyKing,Trundle,Zoe,Ezreal,Braum,Sylas,Kayn,Jayce,Kaisa,Nautilus
6604-8362,LPL,Team WE,LNG Esports,Renekton,LeeSin,Galio,Ashe,Karma,MonkeyKing,Trundle,TwistedFate,Ezreal,Bard
ESPORTSTMNT01/1324986,LCK,Gen.G,Griffin,Irelia,JarvanIV,Neeko,Kalista,Taric,Lucian,LeeSin,Sylas,Ashe,TahmKench
6515-8717,LDL,WanZhen Esports Club,Young Miracles,Aatrox,Graves,TwistedFate,Ashe,Nautilus,Volibear,LeeSin,Rumble,Aphelios,Leona
ESPORTSTMNT03/1334258,LJL,Fukuoka SoftBank Hawks gaming,Sengoku Gaming,Akali,RekSai,Galio,Aphelios,Taric,Aatrox,LeeSin,Leblanc,Senna,TahmKench
ESPORTSTMNT02/1391920,CBLOL,Flamengo Esports,Vivo Keyd,MonkeyKing,Olaf,Syndra,Ezreal,TahmKench,Ornn,Kindred,Azir,Aphelios,Thresh
ESPORTSTMNT03/1430697,LCS.A,CLG Academy,Golden Guardians Academy,Ornn,Vi,Orianna,Lucian,Sett,Kayle,Graves,Azir,Ashe,Thresh
ESPORTSTMNT01/1432427,CBLOL,Santos e-Sports,Flamengo Esports,Camille,Khazix,Galio,Ziggs,Bard,MonkeyKing,Volibear,Karma,Varus,Thresh
ESPORTSTMNT02/1280856,OPL,Avant Gaming,Dire Wolves,Ornn,LeeSin,Ekko,MissFortune,Thresh,Aatrox,RekSai,Cassiopeia,Ezreal,Braum
ESPORTSTMNT01/1434795,LJL,V3 Esports,DetonatioN FocusMe,Ornn,Khazix,Galio,Ashe,Nautilus,Vladimir,Trundle,Ziggs,Ezreal,Bard
ESPORTSTMNT01/1415331,LCK,SANDBOX Gaming,DAMWON Gaming,Mordekaiser,JarvanIV,Azir,Aphelios,Thresh,MonkeyKing,Trundle,Kassadin,Syndra,Pantheon
ESPORTSTMNT02/1281338,LCS.A,TSM Academy,Cloud9 Academy,Gangplank,JarvanIV,Syndra,Varus,Nautilus,Aatrox,RekSai,Zoe,MissFortune,Thresh
ESPORTSTMNT02/1294879,LCS,Evil Geniuses,Team Liquid,Ornn,Sejuani,Zoe,Ezreal,Braum,Sett,Elise,Viktor,Ashe,TahmKench
ESPORTSTMNT06/1170642,LEC,Fnatic,G2 Esports,Sett,Gragas,Yasuo,Kaisa,Rakan,Janna,Olaf,Akali,Ezreal,Yuumi
ESPORTSTMNT02/1323147,PCS,Liyab Esports,Talon Esports,Poppy,Trundle,Leblanc,Varus,Taric,Ornn,JarvanIV,Lissandra,Senna,TahmKench
ESPORTSTMNT06/1190202,EM,K1ck Neosurf,Sector One,Maokai,LeeSin,Azir,Aphelios,Nautilus,MonkeyKing,Elise,Ziggs,Kalista,Braum
6422-8395,LDL,Royal Club,Oh My Dream,Mordekaiser,Kindred,Sett,Aphelios,Leona,Renekton,Nidalee,Irelia,KogMaw,Nautilus
6357-8166,LDL,Top Esports Challenger,WanZhen Esports Club,Volibear,Nidalee,Sett,Aphelios,Leona,Renekton,Taliyah,Gangplank,Ezreal,Nautilus
6636-8599,LPL,Suning,Top Esports,Renekton,Volibear,Leblanc,Senna,TahmKench,Maokai,LeeSin,Syndra,Ashe,Thresh
ESPORTSTMNT04/1250347,TRA,İstanbul Wildcats Academy,Team AURORA Academy,Camille,Nocturne,Orianna,Karthus,Pantheon,Urgot,Sett,Azir,Senna,Thresh
ESPORTSTMNT01/1304132,LJL,Sengoku Gaming,Fukuoka SoftBank Hawks gaming,Kennen,RekSai,Akali,MissFortune,TahmKench,Vladimir,LeeSin,Leblanc,Aphelios,Nautilus
ESPORTSTMNT03/1441104,LCS,100 Thieves,Evil Geniuses,Renekton,Nidalee,Zoe,Caitlyn,Blitzcrank,Shen,Graves,TwistedFate,Ashe,TahmKench
ESPORTSTMNT01/1405328,CK,ESC Shane,OZ Gaming,Ornn,LeeSin,Azir,Aphelios,Karma,Aatrox,Trundle,Corki,Ezreal,Yuumi
6094-7663,LPL,Royal Never Give Up,Suning,Kennen,Olaf,Zoe,Varus,Braum,Renekton,LeeSin,Syndra,MissFortune,Rakan
ESPORTSTMNT01/1413215,OCS,Mammoth Academy,Chiefs Academy,Aatrox,Trundle,Orianna,Varus,Karma,Mordekaiser,Elise,Talon,Ezreal,Bard
ESPORTSTMNT03/1330730,OPL,ORDER,Legacy Esports,Ornn,Trundle,Azir,Xayah,Yuumi,Mordekaiser,Olaf,Kayle,Ezreal,Karma
ESPORTSTMNT06/1270287,TCL,Galatasaray Esports,Papara SuperMassive,Irelia,RekSai,Syndra,Lucian,Braum,Aatrox,Nidalee,Galio,Aphelios,Nautilus
ESPORTSTMNT01/1414064,CBLOL,Flamengo Esports,FURIA Esports,Jayce,Olaf,Azir,Ezreal,Thresh,MonkeyKing,LeeSin,Orianna,Kalista,Sett
6290-7922,LDL,All Combo,LNG Academy,MonkeyKing,Ekko,Pantheon,Aphelios,Braum,Jax,Trundle,Leblanc,Varus,Nautilus
ESPORTSTMNT03/1433070,LCK,DRX,Gen.G,Kennen,Nidalee,Sett,Senna,Braum,Volibear,Hecarim,TwistedFate,Ashe,Karma
ESPORTSTMNT03/1432893,LCS.A,Cloud9 Academy,TSM Academy,Vladimir,Sett,Akali,Ashe,Thresh,Gangplank,Volibear,Leblanc,Xayah,Rakan
5995-7406,LPL,Rogue Warriors,Team WE,Aatrox,Olaf,Azir,Lucian,Braum,Ornn,Kindred,Rumble,Varus,Thresh
6096-7671,LPL,Team WE,EDward Gaming,Renekton,JarvanIV,Galio,Aphelios,Thresh,Sett,Gragas,Corki,MissFortune,Nautilus
ESPORTSTMNT01/1415320,LCK,DAMWON Gaming,SANDBOX Gaming,Jayce,Trundle,Zoe,Senna,Maokai,MonkeyKing,Graves,Azir,Syndra,Thresh
ESPORTSTMNT01/1325789,LJL,V3 Esports,Crest Gaming Act,Mordekaiser,Ekko,Jayce,Aphelios,Thresh,Maokai,JarvanIV,Varus,MissFortune,Braum
ESPORTSTMNT03/1431675,LCK,Afreeca Freecs,KT Rolster,Mordekaiser,Sett,Renekton,Caitlyn,Nautilus,Gnar,Volibear,Sylas,Jhin,Leona
ESPORTSTMNT02/1323127,PCS,Liyab Esports,ahq eSports Club,Poppy,Gragas,Sylas,Kalista,Taric,Maokai,RekSai,Kassadin,Varus,Thresh
6365-8191,LDL,Victorious Gaming,Royal Club,Mordekaiser,Trundle,Azir,Ezreal,Karma,Aatrox,JarvanIV,Syndra,Aphelios,Nautilus
6372-8214,LDL,Suning-S,eStar Young,Renekton,Ekko,Pantheon,Aphelios,Thresh,Volibear,Karthus,Sett,Ashe,Braum
6129-7770,LPL,FunPlus Phoenix,JD Gaming,Gangplank,Trundle,Ryze,MissFortune,Nautilus,Mordekaiser,LeeSin,Leblanc,Aphelios,Sett
ESPORTSTMNT01/1415425,LJL,V3 Esports,Sengoku Gaming,MonkeyKing,Trundle,Galio,Ezreal,Yuumi,Aatrox,Kayn,Zoe,Aphelios,Thresh
ESPORTSTMNT03/1323550,PCS,J Team,Nova Esports,Sett,Taliyah,Pantheon,Ezreal,TahmKench,Renekton,Sejuani,Syndra,Varus,Braum
ESPORTSTMNT02/1412106,CK,ESC Shane,Griffin,Camille,Olaf,Galio,Jhin,Sett,Mordekaiser,Elise,Tryndamere,Caitlyn,Lux
ESPORTSTMNT02/1381904,OPL,MAMMOTH,ORDER,Maokai,Trundle,Corki,Aphelios,Thresh,Renekton,JarvanIV,Sylas,Ezreal,Bard
6147-7692,LDL,Dominus Esports Young,Gama Dream,Vayne,Karthus,Ornn,Varus,TahmKench,Mordekaiser,Trundle,Corki,Ezreal,Galio
ESPORTSTMNT06/1170089,TRA,Dark Passage Academy,İstanbul Wildcats Academy,Irelia,JarvanIV,Cassiopeia,Aphelios,Nautilus,Aatrox,RekSai,Syndra,Ezreal,Yuumi
ESPORTSTMNT03/1343628,PCS,Talon Esports,ahq eSports Club,Lucian,Graves,Galio,Senna,Maokai,Jayce,LeeSin,Cassiopeia,Ezreal,Yuumi
ESPORTSTMNT03/1431420,VCS,CERBERUS Esports,GAM Esports,Renekton,Elise,TwistedFate,Kalista,Thresh,Volibear,Gragas,Pantheon,Ashe,Bard
ESPORTSTMNT01/1291426,LCS,Dignitas,Team Liquid,Gangplank,JarvanIV,Orianna,Aphelios,Thresh,Aatrox,LeeSin,Ryze,Senna,Nautilus
ESPORTSTMNT01/1304574,VCS,Saigon Buffalo,FTV Esports,Akali,JarvanIV,Rumble,Aphelios,TahmKench,Ornn,Olaf,Jayce,Xayah,Thresh
ESPORTSTMNT06/1300364,LCL,Elements Pro Gaming,One Breath Gaming,Jayce,Trundle,Ryze,Senna,Nautilus,Volibear,LeeSin,Viktor,Ashe,Braum
ESPORTSTMNT03/1431586,LCK,DAMWON Gaming,T1,Camille,Lillia,TwistedFate,Ezreal,Leona,Mordekaiser,Khazix,Sylas,Ashe,Nautilus
6472-8568,LDL,FunPlus Phoenix Blaze,EDG Youth Team,Gnar,Graves,Lissandra,Ashe,Nautilus,Renekton,LeeSin,Leblanc,Aphelios,Leona
ESPORTSTMNT03/1343000,OPL,Legacy Esports,Dire Wolves,Gangplank,JarvanIV,Rumble,MissFortune,Karma,Jayce,Trundle,Cassiopeia,Aphelios,Bard
6236-8036,LPL,JD Gaming,Dominus Esports,Volibear,LeeSin,Corki,Aphelios,Leona,Ornn,Trundle,Azir,Kalista,Thresh
ESPORTSTMNT06/1300859,TCL,Papara SuperMassive,1907 Fenerbahçe Esports,Mordekaiser,Graves,Zoe,Aphelios,Nautilus,Ornn,Nidalee,Sett,Ashe,Bard
6325-8047,LDL,optical spectrum E-sports,LNG Academy,Renekton,Nidalee,Lissandra,Aphelios,Nautilus,Ornn,Graves,Orianna,Kaisa,Leona
ESPORTSTMNT03/1301223,CBLOL,paiN Gaming,Flamengo Esports,Gangplank,RekSai,Rumble,Varus,Braum,Renekton,LeeSin,Sylas,Xayah,Leona
5976-7360,LPL,Team WE,FunPlus Phoenix,Irelia,Sejuani,Zoe,Kalista,Thresh,Aatrox,JarvanIV,Kassadin,Varus,TahmKench
ESPORTSTMNT04/1220603,TRA,Galatasaray Academy,Dark Passage Academy,Volibear,RekSai,Ziggs,Aphelios,Nautilus,Sett,Graves,Zoe,Ezreal,Thresh
ESPORTSTMNT01/1415467,PCS,PSG Talon,Machi Esports,Jayce,Nidalee,TwistedFate,Aphelios,Thresh,Renekton,Graves,Kassadin,Ezreal,Bard
ESPORTSTMNT03/1413711,LCS.A,Immortals Academy,Dignitas Academy,Aatrox,Graves,Azir,Ashe,TahmKench,MonkeyKing,Volibear,Orianna,Syndra,Sett
6298-7955,LDL,Vici Gaming Potential,JingNetGame,Renekton,Graves,Lissandra,Aphelios,Leona,Mordekaiser,Trundle,Leblanc,MissFortune,Nautilus
ESPORTSTMNT02/1405337,VCS,CERBERUS Esports,GAM Esports,Kennen,Sett,Orianna,Kalista,Blitzcrank,Renekton,Karthus,Sylas,Ashe,Bard
ESPORTSTMNT03/1350622,OPL,ORDER,Avant Gaming,Ornn,RekSai,Azir,Aphelios,Bard,Trundle,Kindred,Kassadin,Varus,Braum
ESPORTSTMNT03/1342218,PCS,Talon Esports,Machi Esports,Renekton,Trundle,Syndra,Kalista,Taric,Sett,Sejuani,Azir,Kaisa,Braum
ESPORTSTMNT02/1404839,LFL,Misfits Premier,IZI Dream,Gangplank,Skarner,Azir,Senna,Rakan,MonkeyKing,RekSai,Zoe,Ashe,Nautilus
ESPORTSTMNT03/1404925,LLA,Furious Gaming,XTEN Esports,Camille,Volibear,Corki,Varus,Braum,Pantheon,Trundle,Azir,Ashe,Sett
ESPORTSTMNT04/1230686,TRA,İstanbul Wildcats Academy,Galakticos Academy,Mordekaiser,LeeSin,Azir,Varus,Thresh,Fiora,JarvanIV,Vladimir,MissFortune,Nautilus
ESPORTSTMNT03/1412200,CK,ESC Shane,Griffin,Jayce,Elise,Lucian,Ziggs,Pantheon,Volibear,Kayn,Azir,Ashe,Braum
ESPORTSTMNT02/1324598,LFL,LDLC OL,GamersOrigin,Renekton,LeeSin,Zoe,Draven,Braum,Poppy,Karthus,Lucian,Varus,Taric
ESPORTSTMNT02/1332638,VCS,EVOS Esports,Saigon Buffalo,Renekton,Nidalee,Lucian,Syndra,Thresh,Sett,RekSai,Ryze,Varus,Rakan
ESPORTSTMNT02/1281646,LLA,Isurus,Azules Esports,Aatrox,Olaf,Ornn,Ezreal,Yuumi,Mordekaiser,JarvanIV,Cassiopeia,Aphelios,Braum
ESPORTSTMNT01/1310245,LFL,GameWard,Vitality.Bee,Mordekaiser,Sejuani,Sett,Aphelios,Thresh,Ornn,Gragas,Corki,Varus,TahmKench
ESPORTSTMNT02/1385131,LCK,Afreeca Freecs,DRX,Mordekaiser,Trundle,TwistedFate,Aphelios,Nautilus,Karma,LeeSin,Morgana,Ezreal,Braum
ESPORTSTMNT06/1170405,LFL,Solary,GamersOrigin,Gragas,Olaf,Orianna,Ezreal,Yuumi,Maokai,LeeSin,Syndra,Kaisa,Thresh
6213-7861,LPL,Invictus Gaming,Team WE,Aatrox,JarvanIV,Corki,Ezreal,Yuumi,Ornn,Graves,Galio,Aphelios,Bard
ESPORTSTMNT05/1530170,LEC,SK Gaming,Rogue,Ornn,Olaf,Syndra,Caitlyn,Morgana,Gangplank,Sett,Ryze,Aphelios,Thresh
ESPORTSTMNT01/1295840,LCK,Griffin,SANDBOX Gaming,Aatrox,Gragas,Qiyana,MissFortune,Braum,Lucian,Zac,Diana,Aphelios,TahmKench
6415-8367,LDL,eStar Young,Joy Dream,Poppy,Graves,Galio,Aphelios,Leona,Vladimir,RekSai,Renekton,Ashe,Nautilus
ESPORTSTMNT03/1433729,LJL,DetonatioN FocusMe,V3 Esports,Gnar,Nidalee,Azir,Caitlyn,Bard,Renekton,Lillia,Zoe,Ashe,Nautilus
ESPORTSTMNT05/1430756,LCS.A,Evil Geniuses Academy,Cloud9 Academy,Ornn,Elise,Irelia,Ashe,TahmKench,Sett,Gragas,Qiyana,Varus,Thresh
6219-7911,LPL,JD Gaming,Top Esports,Ornn,Kayn,Leblanc,Aphelios,Thresh,Kayle,Trundle,Lissandra,Kaisa,Nautilus
ESPORTSTMNT03/1382513,MSC,DRX,JD Gaming,Akali,Trundle,Sett,Kalista,Nautilus,Mordekaiser,LeeSin,Syndra,Ezreal,Leona
6449-8495,LDL,FunPlus Phoenix Blaze,V5 87,Renekton,Volibear,Zoe,Aphelios,Bard,Kennen,Trundle,MonkeyKing,Ashe,Karma
6061-7523,LPL,FunPlus Phoenix,LNG Esports,Aatrox,Trundle,Corki,Aphelios,Braum,Qiyana,Olaf,Leblanc,Kalista,Taric
6156-7721,LDL,LGD Gaming Young Team,EDG Youth Team,Renekton,Trundle,Fizz,Aphelios,Alistar,Ornn,RekSai,Irelia,MissFortune,Morgana
ESPORTSTMNT03/1433646,LJL,Sengoku Gaming,DetonatioN FocusMe,Ornn,Lillia,Lucian,Ashe,Pantheon,Volibear,Nidalee,Ziggs,Jhin,Leona
ESPORTSTMNT03/1414400,LCK,T1,Team Dynamics,Kennen,Volibear,Corki,Aphelios,Thresh,Sylas,Graves,Azir,Ezreal,Bard
ESPORTSTMNT02/1333728,LCK,T1,DAMWON Gaming,Ornn,JarvanIV,Azir,Varus,Taric,Gangplank,Trundle,Corki,Senna,Maokai
ESPORTSTMNT03/1334158,LCS.A,Evil Geniuses Academy,FlyQuest Academy,Renekton,Zac,Zoe,Senna,Galio,Gangplank,LeeSin,Malzahar,Ziggs,TahmKench
ESPORTSTMNT01/1370134,CBLOL,FURIA Esports,Vivo Keyd,Malphite,Graves,Azir,Varus,TahmKench,Renekton,Olaf,Akali,Xayah,Rakan
6371-8212,LDL,Invictus Gaming Young,Shu Dai Xiong Gaming,Renekton,Ekko,Jayce,Ezreal,Bard,MonkeyKing,Nunu,Zoe,Senna,Sett
ESPORTSTMNT02/1381644,OPL,ORDER,Avant Gaming,Ornn,LeeSin,TwistedFate,Aphelios,Lulu,Sett,Graves,Orianna,Ezreal,Yuumi
ESPORTSTMNT06/1190193,EM,Intrepid Fox Gaming,Racoon,Maokai,RekSai,Azir,Aphelios,Thresh,Aatrox,Elise,Renekton,Taliyah,Nautilus
ESPORTSTMNT02/1321340,LCS,Team SoloMid,100 Thieves,Aatrox,JarvanIV,Azir,Varus,TahmKench,Ornn,Trundle,Viktor,Aphelios,Nautilus
ESPORTSTMNT06/1190333,EM,ASUS ROG ELITE,eSuba,MonkeyKing,LeeSin,Corki,Cassiopeia,Nautilus,Mordekaiser,Olaf,Syndra,Varus,Thresh
ESPORTSTMNT03/1440716,LCS.A,Golden Guardians Academy,CLG Academy,Tryndamere,Graves,Ekko,Caitlyn,Thresh,Gangplank,Skarner,Azir,Jhin,Morgana
ESPORTSTMNT02/1415153,LFL,Misfits Premier,LDLC OL,Gangplank,Fiddlesticks,Jayce,Kalista,Thresh,MonkeyKing,Hecarim,Akali,Ezreal,Nautilus
ESPORTSTMNT02/1260533,LCS.A,TSM Academy,Immortals Academy,Aatrox,Gragas,Leblanc,Aphelios,Leona,Urgot,LeeSin,Nautilus,Ezreal,Braum
ESPORTSTMNT02/1296720,VCS,FTV Esports,V Gaming Adonis,Camille,LeeSin,Sylas,Aphelios,Thresh,Fiora,JarvanIV,Ziggs,MissFortune,Nautilus
ESPORTSTMNT04/1130221,LEC,G2 Esports,Origen,Soraka,LeeSin,Leblanc,Senna,Thresh,Rumble,RekSai,Sylas,Xayah,Rakan
ESPORTSTMNT03/1392105,CK,unknown team,Jin Air Green Wings,Renekton,LeeSin,Syndra,Aphelios,Thresh,Mordekaiser,Trundle,Ekko,Ezreal,Karma
6451-8499,LDL,All Combo,Bilibili Gaming Junior,Mordekaiser,Olaf,Leblanc,Aphelios,Thresh,Vayne,Volibear,Galio,Ashe,Nautilus
ESPORTSTMNT04/1240434,TCL,1907 Fenerbahçe Esports,Galatasaray Esports,Aatrox,Olaf,Sylas,Ashe,Nautilus,MonkeyKing,Graves,Orianna,Ezreal,Leona
ESPORTSTMNT04/1220607,TRA,Galakticos Academy,Royal Youth Academy,Ornn,Sejuani,Corki,Aphelios,Lulu,Gangplank,Sylas,Cassiopeia,Senna,Sett
ESPORTSTMNT01/1296344,CK,Spear Gaming,Seorabeol Gaming,Sett,LeeSin,Syndra,Ashe,Thresh,Soraka,Olaf,Ryze,MissFortune,Blitzcrank
